OFFSET_X,OFFSET_Y,SSLOC_X,SSLOC_Y,SSLOC_Z,SRC_X,SRC_Y,SRC_Z,RCV_X,RCV_Y,RCV_Z
-3000,-300,14257,19447,1836,14125,19250,0,11125,18950,0
-3000,-300,13198,17187,1974,11725,17450,0,8725,17150,0
-3000,-300,13175,16683,2080,8425,16850,0,5425,16550,0
-3000,-300,13282,17001,2319,12175,16850,0,9175,16550,0
-3000,-300,13529,18455,1630,13975,19250,0,10975,18950,0
-3000,-300,13261,17176,2011,12025,17450,0,9025,17150,0
-3000,-300,13432,18480,1771,13075,19250,0,10075,18950,0
-3000,-300,13500,18744,1928,11275,19850,0,8275,19550,0
-3000,-300,13471,18580,1823,10525,19850,0,7525,19550,0
-3000,-300,13405,18394,1864,9775,19850,0,6775,19550,0
-3000,-300,13494,18449,1832,12925,19250,0,9925,18950,0
-3000,-300,13532,18428,1839,12775,19250,0,9775,18950,0
-3000,-300,13476,18357,1859,12325,19250,0,9325,18950,0
-3000,-300,14321,19535,2116,13375,19850,0,10375,19550,0
-3000,-300,14363,19554,2059,13525,19850,0,10525,19550,0
-3000,-300,14384,19553,2001,13675,19850,0,10675,19550,0
-3000,-300,13514,18518,1859,13525,19250,0,10525,18950,0
-3000,-300,13536,18578,1935,11725,19850,0,8725,19550,0
-3000,-300,13158,16900,2172,10975,18050,0,7975,17750,0
-3000,-300,13518,18603,2008,11875,19850,0,8875,19550,0
-3000,-300,14211,19714,2267,12625,20450,0,9625,20150,0
-3000,-300,13200,16949,2339,11425,18050,0,8425,17750,0
-3000,-300,13616,18561,1931,12625,19850,0,9625,19550,0
-3000,-300,13620,18609,1904,12775,19850,0,9775,19550,0
-3000,-300,13235,17167,1981,11875,17450,0,8875,17150,0
-3000,-300,13623,18647,2016,12175,19850,0,9175,19550,0
-3000,-300,13373,16764,2185,12325,17450,0,9325,17150,0
-3000,-300,13510,18489,1967,13375,19250,0,10375,18950,0
-3000,-300,13608,18933,2157,11125,20450,0,8125,20150,0
-3000,-300,13242,16935,2257,11275,18050,0,8275,17750,0
-3000,-300,13559,18795,1957,13975,20450,0,10975,20150,0
-3000,-300,13749,19216,2281,12925,21050,0,9925,20750,0
-3000,-300,13439,17893,2086,11875,18650,0,8875,18350,0
-3000,-300,13831,19394,2309,11125,21050,0,8125,20750,0
-3000,-300,13946,19584,2321,12025,21650,0,9025,21350,0
-3000,-300,13604,18221,2002,13375,18650,0,10375,18350,0
