OFFSET_X,OFFSET_Y,SSLOC_X,SSLOC_Y,SSLOC_Z,SRC_X,SRC_Y,SRC_Z,RCV_X,RCV_Y,RCV_Z
-4800,-300,14080,19713,2174,11725,21650,0,6925,21350,0
-4800,-300,13347,17473,2550,9475,19250,0,4675,18950,0
-4800,-300,13854,19228,2429,10375,21050,0,5575,20750,0
-4800,-300,13562,19181,2138,5875,21050,0,1075,20750,0
-4800,-300,13734,18562,2577,8875,19250,0,4075,18950,0
-4800,-300,14086,19356,2803,11125,21050,0,6325,20750,0
-4800,-300,13859,19153,2658,10225,20450,0,5425,20150,0
-4800,-300,13508,18448,2139,6325,21050,0,1525,20750,0
-4800,-300,13452,18309,2068,5875,21050,0,1075,20750,0
-4800,-300,13913,19232,2860,10375,20450,0,5575,20150,0
-4800,-300,13857,19104,2662,9775,20450,0,4975,20150,0
-4800,-300,14182,19420,2954,10075,21650,0,5275,21350,0
-4800,-300,13972,19081,2856,8875,21650,0,4075,21350,0
-4800,-300,14200,19358,2923,9775,21650,0,4975,21350,0
-4800,-300,13935,18850,2864,10975,20450,0,6175,20150,0
-4500,-300,12947,15994,1558,7825,16850,0,3325,16550,0
-4500,-300,13811,17164,1465,9925,16850,0,5425,16550,0
-4500,-300,13749,16838,1372,9625,18050,0,5125,17750,0
-4500,-300,13803,17397,1440,9925,18050,0,5425,17750,0
-4500,-300,13315,16262,2696,9925,17450,0,5425,17150,0
-4500,-300,13356,16380,2652,10375,17450,0,5875,17150,0
-4500,-300,13431,16789,2775,10075,17450,0,5575,17150,0
-4500,-300,13264,16260,2451,9475,18050,0,4975,17750,0
-4500,-300,13188,16622,2723,8575,17450,0,4075,17150,0
-4500,-300,13180,16682,2586,9025,17450,0,4525,17150,0
-4500,-300,13018,15814,2144,5725,18050,0,1225,17750,0
-4500,-300,14936,18048,2821,13225,21050,0,8725,20750,0
-4500,-300,13556,19141,1883,9475,21050,0,4975,20750,0
-4500,-300,13613,19187,2253,10825,21050,0,6325,20750,0
-4500,-300,14093,18668,3047,10075,19850,0,5575,19550,0
-4500,-300,13916,19556,2523,11125,21650,0,6625,21350,0
-4500,-300,13302,18458,2091,5725,21050,0,1225,20750,0
-4500,-300,13807,18385,2792,10825,19850,0,6325,19550,0
-4500,-300,13761,18554,2644,9175,19250,0,4675,18950,0
-4500,-300,13620,18958,2139,5875,19250,0,1375,18950,0
-4500,-300,13494,18148,2081,5875,20450,0,1375,20150,0
-4500,-300,13687,17975,2746,9025,19250,0,4525,18950,0
-4500,-300,13893,19249,2730,10225,21050,0,5725,20750,0
-4500,-300,13832,19425,2416,9475,22250,0,4975,21950,0
-4500,-300,14028,19120,2695,9925,20450,0,5425,20150,0
-4500,-300,13762,18766,2769,10225,20450,0,5725,20150,0
-4500,-300,13372,17796,2072,6325,21050,0,1825,20750,0
-4500,-300,14231,19659,2852,10375,21650,0,5875,21350,0
-4500,-300,14137,19607,2737,10225,22250,0,5725,21950,0
-4500,-300,14206,19531,2817,9925,21650,0,5425,21350,0
-4500,-300,13495,18921,2208,5725,19250,0,1225,18950,0
-4500,-300,13432,16656,2654,9775,16850,0,5275,16550,0
-4500,-300,14213,19405,2999,9775,21650,0,5275,21350,0
-4200,-300,13043,16561,1949,7075,13850,0,2875,13550,0
-4200,-300,12881,15888,1604,7525,17450,0,3325,17150,0
-4200,-300,13236,15874,3026,7375,16850,0,3175,16550,0
-4200,-300,13355,16367,2755,10075,17450,0,5875,17150,0
-4200,-300,13177,16097,2456,8725,18050,0,4525,17750,0
-4200,-300,13222,17530,2086,9475,18650,0,5275,18350,0
-4200,-300,13556,19022,2135,10225,20450,0,6025,20150,0
-4200,-300,13481,17270,2697,10675,18650,0,6475,18350,0
-4200,-300,13383,17363,2568,9175,18050,0,4975,17750,0
-4200,-300,13449,18946,2183,10075,21050,0,5875,20750,0
-4200,-300,13857,18457,2219,22225,19250,0,18025,18950,0
-4200,-300,13706,19365,2381,11275,21050,0,7075,20750,0
-4200,-300,13655,17850,2710,10675,19250,0,6475,18950,0
-4200,-300,13225,17895,2126,5725,19850,0,1525,19550,0
-4200,-300,13602,17807,2887,10375,19850,0,6175,19550,0
-4200,-300,14101,19633,2428,11125,21650,0,6925,21350,0
-4200,-300,13996,19019,2773,10975,20450,0,6775,20150,0
-4200,-300,13686,19310,2392,11125,21050,0,6925,20750,0
-4200,-300,13713,18086,2662,9325,19850,0,5125,19550,0
-4200,-300,13952,18754,2845,10075,20450,0,5875,20150,0
-4200,-300,14074,19200,2769,9925,21050,0,5725,20750,0
-4200,-300,14243,19647,2899,10075,21650,0,5875,21350,0
-4200,-300,14105,19203,2982,10075,21050,0,5875,20750,0
-3900,-300,13020,16542,1828,8425,15650,0,4525,15350,0
-3900,-300,13325,15942,1742,20125,16250,0,16225,15950,0
-3900,-300,12746,15979,1544,6925,16850,0,3025,16550,0
-3900,-300,12889,16065,1684,7825,16850,0,3925,16550,0
-3900,-300,13946,17278,1701,9925,17450,0,6025,17150,0
-3900,-300,13935,16597,1693,10075,18050,0,6175,17750,0
-3900,-300,13909,17514,1700,9775,18050,0,5875,17750,0
-3900,-300,13289,16075,2615,10375,17450,0,6475,17150,0
-3900,-300,13134,16203,2178,10225,17450,0,6325,17150,0
-3900,-300,13370,16932,2963,9775,18050,0,5875,17750,0
-3900,-300,13085,17533,1990,8575,18650,0,4675,18350,0
-3900,-300,13243,17524,1952,8875,18650,0,4975,18350,0
-3900,-300,12960,17142,2170,9325,18650,0,5425,18350,0
-3900,-300,13343,18436,2132,9625,19850,0,5725,19550,0
-3900,-300,13433,18512,2162,10075,19850,0,6175,19550,0
-3900,-300,13478,17253,2661,10225,18650,0,6325,18350,0
-3900,-300,13899,17963,2991,8725,19250,0,4825,18950,0
-3900,-300,13204,17521,2173,8575,19250,0,4675,18950,0
-3900,-300,13467,18418,2076,5275,18650,0,1375,18350,0
-3900,-300,13600,19174,2242,10225,21050,0,6325,20750,0
-3900,-300,13645,17887,2991,10225,19850,0,6325,19550,0
-3900,-300,13123,17552,2030,8725,18650,0,4825,18350,0
-3900,-300,13719,19365,2371,10975,21050,0,7075,20750,0
-3900,-300,13753,19387,2455,11125,21050,0,7225,20750,0
-3900,-300,13150,17363,2281,10225,18650,0,6325,18350,0
-3900,-300,13669,17962,2793,10375,19850,0,6475,19550,0
-3900,-300,13737,19248,2301,10675,21650,0,6775,21350,0
-3900,-300,13513,18025,2657,8875,19850,0,4975,19550,0
-3900,-300,13995,19031,2693,10675,20450,0,6775,20150,0
-3900,-300,13688,17810,3027,8875,20450,0,4975,20150,0
-3900,-300,13776,18842,2720,9925,20450,0,6025,20150,0
-3900,-300,13991,18917,2908,10375,20450,0,6475,20150,0
-3900,-300,13812,18871,2922,10075,20450,0,6175,20150,0
-3900,-300,13696,18546,2762,8575,19850,0,4675,19550,0
-3900,-300,13987,19641,2632,9475,22250,0,5575,21950,0
-3900,-300,14109,19298,2860,10075,21050,0,6175,20750,0
-3900,-300,14105,19273,2849,9925,21050,0,6025,20750,0
-3600,-300,13069,16192,1829,8425,16850,0,4825,16550,0
-3600,-300,12887,17335,1656,6925,18650,0,3325,18350,0
-3600,-300,13219,16185,2571,8575,17450,0,4975,17150,0
-3600,-300,13328,16940,2645,9175,18050,0,5575,17750,0
-3600,-300,14084,18953,1548,12625,20450,0,9025,20150,0
-3600,-300,14273,19751,3029,9625,21050,0,6025,20750,0
-3600,-300,13769,18997,2497,10225,21050,0,6625,20750,0
-3600,-300,13988,19338,2808,8575,22250,0,4975,21950,0
-3600,-300,13908,19233,2850,9175,20450,0,5575,20150,0
-3300,-300,12778,17146,1625,6025,18050,0,2725,17750,0
-3300,-300,13720,19349,2390,10375,21050,0,7075,20750,0
-3300,-300,13836,19459,2327,10375,21650,0,7075,21350,0
-3300,-300,13930,19557,2437,10825,21650,0,7525,21350,0
-3300,-300,13991,19659,2518,10225,21650,0,6925,21350,0
-3300,-300,13794,18116,3004,8725,19850,0,5425,19550,0
-3300,-300,13752,18668,2740,8425,19250,0,5125,18950,0
-3300,-300,13827,19004,2645,9925,20450,0,6625,20150,0
-3300,-300,14080,19777,2787,9325,22250,0,6025,21950,0
-3300,-300,13887,19214,2710,9175,21050,0,5875,20750,0
-3300,-300,14099,19209,2878,9325,21650,0,6025,21350,0
-3000,-300,13050,16474,1985,7975,15650,0,4975,15350,0
-3000,-300,13080,16534,2017,8125,15650,0,5125,15350,0
-3000,-300,13709,15821,3024,9025,18050,0,6025,17750,0
-3000,-300,12368,17250,1607,5275,19250,0,2275,18950,0
-3000,-300,13249,17989,2244,9175,19250,0,6175,18950,0
-3000,-300,13397,17082,2759,9325,18050,0,6325,17750,0
-3000,-300,13346,17406,2640,8125,18050,0,5125,17750,0
-3000,-300,13551,18987,2317,9925,21050,0,6925,20750,0
-3000,-300,13808,19475,2422,10525,21050,0,7525,20750,0
-3000,-300,13827,19497,2432,10675,21050,0,7675,20750,0
-3000,-300,13593,17771,2759,10225,19850,0,7225,19550,0
-3000,-300,13915,19250,2548,10375,20450,0,7375,20150,0
-3000,-300,13564,17729,2608,10075,19850,0,7075,19550,0
-3000,-300,13689,19436,2351,10825,21650,0,7825,21350,0
-3000,-300,13703,19492,2390,10075,21650,0,7075,21350,0
-3000,-300,13816,19699,2380,10675,21650,0,7675,21350,0
-3000,-300,13789,19643,2394,10525,21650,0,7525,21350,0
-3000,-300,13731,19531,2401,10225,21650,0,7225,21350,0
-3000,-300,13862,19747,2468,10975,21650,0,7975,21350,0
-3000,-300,13819,19379,2353,10825,21650,0,7825,21350,0
-3000,-300,13896,19276,2494,10375,21050,0,7375,20750,0
-3000,-300,13869,19231,2463,10075,21050,0,7075,20750,0
-3000,-300,13931,19583,2375,10525,21650,0,7525,21350,0
-3000,-300,13959,18864,2579,10525,20450,0,7525,20150,0
-3000,-300,13995,19723,2345,10975,21650,0,7975,21350,0
-3000,-300,13891,19136,2873,10225,20450,0,7225,20150,0
-3000,-300,13988,19537,2599,9925,21050,0,6925,20750,0
-3000,-300,14074,19298,2811,10675,21050,0,7675,20750,0
-3000,-300,13929,18779,2723,10375,20450,0,7375,20150,0
-3000,-300,13945,19784,2451,10225,22250,0,7225,21950,0
-3000,-300,14232,19793,2782,10675,21650,0,7675,21350,0
-3000,-300,14075,19477,2760,10825,21650,0,7825,21350,0
